"owner","plots","wealth","hhsize","draft","livestock","expenses","trees","cumpop","cumland"
35,2,20000,5,0,0,94970,0,5,2
37,9,90000,11,2,0,94970,0,16,11
14,25,250000,25,4,130,94970,0,41,36
24,18,180000,10,4,17,94970,0,51,54
39,8,80000,16,2,0,94970,0,67,62
4,10,1e+05,16,3,0,94970,0,83,72
30,6,60000,3,1,0,94970,0,86,78
25,7,70000,9,2,0,94970,0,95,85
15,26,260000,45,2,3,94970,0,140,111
20,16,160000,23,4,30,94970,0,163,127
29,7,70000,7,1,0,94970,0,170,134
31,13,130000,20,2,0,94970,0,190,147
9,7,70000,13,2,2,94970,0,203,154
2,6,60000,5,2,6,94970,0,208,160
43,36,360000,39,6,50,94970,0,247,196
23,13,130000,12,1,0,94970,0,259,209
17,21,210000,22,4,3,94970,0,281,230
19,12,120000,30,2,4,94970,0,311,242
12,10,1e+05,10,2,34,94970,0,321,252
27,11,110000,10,1,1,94970,0,331,263
42,6,60000,8,2,3,94970,0,339,269
26,5,50000,9,0,0,94970,0,348,274
46,8,80000,7,2,65,94970,0,355,282
7,4,40000,7,0,0,94970,0,362,286
40,18,180000,34,4,10,94970,0,396,304
