crop,mgt,age,harvest,cost,price
cashew,fp,0,0,28000,350
cashew,fp,1,0,0,350
cashew,fp,2,0,0,350
cashew,fp,3,300,0,350
cashew,fp,4,613,0,350
cashew,fp,5,927,0,350
cashew,fp,6,1241,0,350
cashew,fp,7,1555,0,350
cashew,fp,8,1869,0,350
cashew,fp,9,2183,0,350
cashew,fp,10,2500,0,350
cashew,fp,11,2500,0,350
cashew,fp,12,2500,0,350
cashew,fp,13,2500,0,350
cashew,fp,14,2500,0,350
cashew,fp,15,2500,0,350
cashew,fp,16,2500,0,350
cashew,fp,17,2500,0,350
cashew,fp,18,2500,0,350
cashew,fp,19,2500,0,350
cashew,fp,20,2500,0,350